Date : 2026-09-15 21:16:13
Directory : /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app
Total : 104 files,  16384 codes, 215 comments, 1195 blanks, all 17794 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/listings/Pageheading.tsx                   | TypeScript JSX     |         16 |          0 |          1 |         17 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/listings/Pagination.tsx                    | TypeScript JSX     |         59 |          0 |          5 |         64 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/listings/Resultstoolbar.tsx                | TypeScript JSX     |         56 |          0 |          6 |         62 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/minimalListingCard.tsx                     | TypeScript JSX     |        289 |         16 |         43 |        348 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/navigationBar.tsx                          | TypeScript JSX     |        329 |          5 |         31 |        365 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/eslint.config.mjs                                     | JavaScript         |         14 |          2 |          3 |         19 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/next.config.ts                                        | TypeScript         |         21 |          0 |          3 |         24 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/package-lock.json                                     | JSON               |      6,920 |          0 |          1 |      6,921 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/package.json                                          | JSON               |         29 |          0 |          1 |         30 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/postcss.config.mjs                                    | JavaScript         |          6 |          0 |          2 |          8 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/proxy.ts                                              | TypeScript         |         76 |          3 |         14 |         93 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/public/file.svg                                       | XML                |          1 |          0 |          0 |          1 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/public/globe.svg                                      | XML                |          1 |          0 |          0 |          1 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/public/next.svg                                       | XML                |          1 |          0 |          0 |          1 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/public/placeholder.svg                                | XML                |         15 |          0 |          1 |         16 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/public/vercel.svg                                     | XML                |          1 |          0 |          0 |          1 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/public/window.svg                                     | XML                |          1 |          0 |          0 |          1 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/tailwind.config.ts                                    | TypeScript         |         55 |          0 |          2 |         57 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/tsconfig.json                                         | JSON with Comments |         34 |          0 |          1 |         35 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/types/types.ts                                        | TypeScript         |         40 |          0 |          3 |         43 |
| Total                                                                                                            |                    |     16,384 |        215 |      1,195 |     17,794 |
+------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
