"filename", "language", "Markdown", "TypeScript", "JSON", "TypeScript JSX", "XML", "JSON with Comments", "JavaScript", "PostCSS", "comment", "blank", "total"
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/WhyBookUs.tsx", "TypeScript JSX", 0, 0, 0, 72, 0, 0, 0, 0, 2, 9, 83
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/admin/bookings/booking-row-actions.tsx", "TypeScript JSX", 0, 0, 0, 42, 0, 0, 0, 0, 1, 5, 48
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/admin/bookings/tabs.tsx", "TypeScript JSX", 0, 0, 0, 31, 0, 0, 0, 0, 1, 4, 36
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/admin/listings/listing-row-actions.tsx", "TypeScript JSX", 0, 0, 0, 51, 0, 0, 0, 0, 1, 4, 56
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/admin/listings/tabs.tsx", "TypeScript JSX", 0, 0, 0, 31, 0, 0, 0, 0, 1, 4, 36
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/admin/sidebar.tsx", "TypeScript JSX", 0, 0, 0, 56, 0, 0, 0, 0, 1, 7, 64
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/admin/users/tabs.tsx", "TypeScript JSX", 0, 0, 0, 24, 0, 0, 0, 0, 1, 4, 29
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/admin/users/user-row-actions.tsx", "TypeScript JSX", 0, 0, 0, 83, 0, 0, 0, 0, 1, 5, 89
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/appartmentDetails/AvailabilityCalendar.tsx", "TypeScript JSX", 0, 0, 0, 133, 0, 0, 0, 0, 1, 19, 153
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/appartmentDetails/ListingPolicies.tsx", "TypeScript JSX", 0, 0, 0, 111, 0, 0, 0, 0, 0, 9, 120
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/appartmentDetails/LocationMap.tsx", "TypeScript JSX", 0, 0, 0, 34, 0, 0, 0, 0, 1, 5, 40
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/appartmentDetails/PhotoLightbox.tsx", "TypeScript JSX", 0, 0, 0, 77, 0, 0, 0, 0, 1, 9, 87
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/appartmentDetails/PriceBreakdown.tsx", "TypeScript JSX", 0, 0, 0, 39, 0, 0, 0, 0, 1, 4, 44
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/appartmentDetails/RelatedListings.tsx", "TypeScript JSX", 0, 0, 0, 41, 0, 0, 0, 0, 1, 3, 45
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/appartmentDetails/ReviewsSection.tsx", "TypeScript JSX", 0, 0, 0, 55, 0, 0, 0, 0, 1, 5, 61
